id_municipio,taxa_alfabetizacao_15mais
1100015,91.59
1100023,94.08
1100031,89.82
1100049,93.71
1100056,92.15
1100064,90.47
1100072,91.52
1100080,92.92
1100098,92.01
1100106,94.16
1100114,92.39
1100122,94.37
1100130,91.65
1100148,91.36
1100155,92.81
1100189,93.24
1100205,95.64
1100254,92.38
1100262,92.17
1100288,93.5
1100296,90.45
1100304,95.25
1100320,92.68
1100338,90.69
1100346,88.53
1100379,90.79
1100403,91.73
1100452,92.46
1100502,90.03
1100601,88.08
1100700,90.46
1100809,91.87
1100908,89.81
1100924,92.64
1100940,92.34
1101005,89.21
1101104,90.31
1101203,88.99
1101302,89.07
1101401,89.15
1101435,89.7
1101450,89.53
1101468,93.15
1101476,87.46
1101484,89.81
1101492,91.86
1101500,92.73
1101559,89.96
1101609,88.38
1101708,90.24
1101757,88.35
1101807,89.5
1200013,88.35
1200054,85.3
1200104,89.01
1200138,81.26
1200179,84.27
1200203,86.24
1200252,88.78
1200302,77.35
1200328,81.88
1200336,84.27
1200344,77.84
1200351,77.17
1200385,84.38
1200393,81.1
1200401,93.04
1200427,79.96
1200435,77.4
1200450,87.04
1200500,82.41
1200609,78.51
1200708,85.39
1200807,83.98
1300029,87.63
1300060,85.13
1300086,87.76
1300102,86.82
1300144,91.81
1300201,77.18
1300300,89.87
1300409,78.71
1300508,93.96
1300607,87.3
1300631,82.99
1300680,95.63
1300706,80.16
1300805,88.88
1300839,91.71
1300904,81.11
1301001,81.99
1301100,87.06
1301159,87.09
1301209,86.34
1301308,86.18
1301407,74.72
1301506,73.69
1301605,86.07
1301654,77.64
1301704,88.74
1301803,75.84
1301852,91.14
1301902,93.93
1301951,73.56
1302009,94.08
1302108,87.61
1302207,79.36
1302306,84.1
1302405,80.4
1302504,88.97
1302553,88.58
1302603,97.02
1302702,89.56
1302801,84.33
1302900,93.84
1303007,93.22
1303106,91.02
1303205,89.57
1303304,87.97
1303403,95.93
1303502,75.88
1303536,91.41
1303569,91.27
1303601,84.1
1303700,85.63
1303809,90.6
1303908,85.2
1303957,94.06
1304005,94.49
1304062,90.45
1304104,79.19
1304203,90.16
1304237,86.88
1304260,88.07
1304302,94.23
1304401,93.7
1400027,68.17
1400050,63.19
1400100,96.43
1400159,91.31
1400175,90.81
1400209,87.01
1400233,91.69
1400282,79.97
1400308,87.67
1400407,91.82
1400456,94.09
1400472,90.5
1400506,90.37
1400605,90.0
1400704,87.53
1500107,89.91
1500131,86.16
1500206,84.1
1500305,77.98
1500347,88.32
1500404,89.18
1500503,87.42
1500602,90.34
1500701,77.42
1500800,97.2
1500859,85.05
1500909,82.54
1500958,81.75
1501006,90.96
1501105,82.55
1501204,91.96
1501253,87.22
1501303,93.85
1501402,97.05
1501451,91.14
1501501,94.44
1501576,87.91
1501600,79.83
1501709,88.14
1501725,88.86
1501758,86.14
1501782,84.9
1501808,81.1
1501907,88.52
1501956,79.78
1502004,91.63
1502103,91.67
1502152,94.85
1502202,90.06
1502301,81.77
1502400,94.12
1502509,80.86
1502608,92.21
1502707,89.5
1502756,86.39
1502764,83.75
1502772,87.15
1502806,83.14
1502855,91.96
1502905,93.15
1502939,88.97
1502954,85.92
1503002,92.74
1503044,87.04
1503077,78.13
1503093,84.44
1503101,82.03
1503200,87.75
1503309,84.59
1503408,87.91
1503457,82.45
1503507,85.76
1503606,91.81
1503705,84.77
1503754,88.79
1503804,85.48
1503903,93.76
1504000,89.35
1504059,87.47
1504109,91.9
1504208,92.2
1504307,90.65
1504406,92.72
1504422,95.61
1504455,87.13
1504505,80.12
1504604,91.78
1504703,87.53
1504752,86.18
1504802,88.84
1504901,89.99
1504950,77.07
1504976,85.71
1505007,86.35
1505031,93.59
1505064,85.22
1505106,90.74
1505205,85.65
1505304,92.67
1505403,86.17
1505437,88.43
1505486,86.61
1505494,80.11
1505502,91.51
1505536,94.56
1505551,83.63
1505601,82.07
1505635,87.89
1505650,87.93
1505700,87.94
1505809,79.45
1505908,86.46
1506005,88.56
1506104,86.48
1506112,81.63
1506138,91.96
1506161,87.82
1506187,89.54
1506195,87.93
1506203,91.71
1506302,93.02
1506351,91.84
1506401,92.37
1506500,92.91
1506559,82.4
1506583,88.03
1506609,84.05
1506708,89.51
1506807,95.39
1506906,88.28
1507003,91.18
1507102,91.01
1507151,84.77
1507201,83.7
1507300,89.01
1507409,88.66
1507458,87.72
1507466,90.83
1507474,83.79
1507508,80.62
1507607,88.35
1507706,90.48
1507755,86.61
1507805,84.77
1507904,94.37
1507953,88.62
1507961,90.77
1507979,94.94
1508001,88.63
1508035,83.06
1508050,88.18
1508084,90.43
1508100,91.83
1508126,89.2
1508159,87.81
1508209,91.6
1508308,80.78
1508357,85.81
1508407,90.68
1600055,93.71
1600105,89.53
1600154,91.3
1600204,89.9
1600212,89.41
1600238,90.71
1600253,89.11
1600279,89.75
1600303,95.1
1600402,87.56
1600501,93.63
1600535,90.15
1600550,89.87
1600600,92.44
1600709,88.79
1600808,87.4
1700251,87.87
1700301,90.33
1700350,89.71
1700400,84.63
1700707,91.23
1701002,86.39
1701051,89.4
1701101,88.97
1701309,82.75
1701903,87.36
1702000,88.89
1702109,93.67
1702158,87.33
1702208,85.26
1702307,87.21
1702406,83.72
1702554,86.65
1702703,83.75
1702901,84.69
1703008,83.0
1703057,88.86
1703073,84.02
1703107,85.84
1703206,86.41
1703305,87.86
1703602,86.59
1703701,85.95
1703800,80.68
1703826,85.25
1703842,86.86
1703867,91.15
1703883,86.07
1703891,79.25
1703909,89.38
1704105,84.77
1704600,84.93
1705102,85.99
1705508,91.1
1705557,88.47
1705607,83.45
1706001,86.16
1706100,88.94
1706258,91.06
1706506,89.85
1707009,89.83
1707108,89.69
1707207,87.02
1707306,88.69
1707405,78.21
1707553,90.12
1707652,88.3
1707702,87.23
1708205,89.84
1708254,90.96
1708304,86.41
1709005,82.26
1709302,92.25
1709500,95.57
1709807,83.81
1710508,86.64
1710706,82.38
1710904,84.1
1711100,88.73
1711506,89.52
1711803,86.51
1711902,92.82
1711951,85.7
1712009,93.57
1712157,80.89
1712405,83.29
1712454,86.97
1712504,91.4
1712702,83.19
1712801,83.11
1713205,90.71
1713304,90.81
1713601,85.57
1713700,89.39
1713809,84.62
1713957,86.19
1714203,86.33
1714302,84.58
1714880,87.66
1715002,89.82
1715101,90.53
1715150,87.68
1715259,82.5
1715507,88.67
1715705,83.52
1715754,88.38
1716109,94.9
1716208,82.14
1716307,86.38
1716505,92.56
1716604,84.58
1716653,85.28
1716703,88.22
1717008,87.33
1717206,84.47
1717503,86.58
1717800,83.37
1717909,87.09
1718006,84.11
1718204,93.54
1718303,83.86
1718402,88.73
1718451,90.03
1718501,78.46
1718550,84.32
1718659,89.47
1718709,86.13
1718758,88.1
1718808,83.07
1718840,88.69
1718865,86.67
1718881,88.09
1718899,88.98
1718907,86.02
1719004,86.83
1720002,84.69
1720101,86.34
1720150,88.32
1720200,84.37
1720259,83.41
1720309,82.88
1720499,86.31
1720655,88.78
1720804,84.23
1720853,87.57
1720903,87.26
1720937,85.9
1720978,88.55
1721000,96.89
1721109,89.95
1721208,90.04
1721257,87.97
1721307,84.89
1722081,86.39
1722107,86.38
2100055,87.14
2100105,76.78
2100154,74.3
2100204,81.52
2100303,71.54
2100402,75.3
2100436,76.25
2100477,77.84
2100501,87.06
2100550,79.24
2100600,80.4
2100709,78.02
2100808,78.29
2100832,84.45
2100873,79.85
2100907,72.38
2100956,75.01
2101004,84.46
2101103,87.5
2101202,85.13
2101251,85.98
2101301,80.93
2101350,83.02
2101400,91.59
2101509,83.48
2101608,79.76
2101707,83.11
2101731,76.35
2101772,79.49
2101806,78.44
2101905,81.47
2101939,82.33
2101970,80.9
2102002,75.07
2102036,77.67
2102077,73.11
2102101,76.82
2102150,74.58
2102200,76.36
2102309,76.57
2102325,79.45
2102358,79.45
2102374,77.8
2102408,79.79
2102507,85.35
2102556,84.45
2102606,82.87
2102705,82.95
2102754,75.17
2102804,87.75
2102903,85.7
2103000,82.48
2103109,86.8
2103125,79.26
2103158,79.86
2103174,79.73
2103208,80.88
2103257,80.95
2103307,77.7
2103406,78.46
2103505,78.29
2103554,76.99
2103604,76.24
2103703,85.49
2103752,85.74
2103802,83.75
2103901,73.31
2104008,78.83
2104057,88.51
2104073,83.94
2104081,73.77
2104099,85.92
2104107,89.06
2104206,79.52
2104305,86.55
2104404,75.77
2104503,79.08
2104552,84.58
2104602,76.05
2104628,77.49
2104651,81.39
2104677,81.96
2104701,79.36
2104800,82.84
2104909,88.95
2105005,81.57
2105104,82.05
2105153,78.74
2105203,76.63
2105302,93.22
2105351,74.55
2105401,81.99
2105427,85.12
2105450,77.64
2105476,72.09
2105500,85.19
2105609,75.06
2105658,80.37
2105708,76.21
2105807,74.59
2105906,73.33
2105922,77.24
2105948,76.2
2105963,71.45
2105989,83.63
2106003,78.3
2106102,86.56
2106201,86.03
2106300,76.24
2106326,81.79
2106359,71.27
2106375,77.52
2106409,79.03
2106508,84.67
2106607,75.39
2106631,80.8
2106672,70.66
2106706,76.05
2106755,85.55
2106805,87.74
2106904,79.55
2107001,84.12
2107100,81.23
2107209,80.37
2107258,82.33
2107308,80.57
2107357,78.67
2107407,73.82
2107456,81.45
2107506,95.87
2107605,80.16
2107704,76.38
2107803,74.3
2107902,74.87
2108009,82.91
2108058,78.92
2108108,73.21
2108207,84.7
2108256,79.58
2108306,83.19
2108405,84.68
2108454,74.95
2108504,84.27
2108603,85.91
2108702,75.13
2108801,76.46
2108900,74.66
2109007,89.05
2109056,86.98
2109106,83.73
2109205,79.3
2109239,81.2
2109270,79.65
2109304,80.29
2109403,79.69
2109452,89.72
2109502,84.99
2109551,83.47
2109601,86.6
2109700,80.3
2109759,76.39
2109809,82.17
2109908,87.59
2110005,76.92
2110039,83.93
2110104,75.91
2110203,84.42
2110237,71.8
2110278,82.32
2110302,76.92
2110401,79.04
2110500,84.23
2110609,77.54
2110658,79.36
2110708,78.91
2110807,77.44
2110856,80.98
2110906,74.84
2111003,81.74
2111029,71.79
2111052,86.65
2111078,72.85
2111102,83.23
2111201,95.16
2111250,75.3
2111300,96.01
2111409,73.3
2111508,78.47
2111532,80.54
2111573,91.07
2111607,86.22
2111631,77.63
2111672,74.69
2111706,78.72
2111722,74.43
2111748,75.07
2111763,79.92
2111789,79.3
2111805,82.99
2111904,80.06
2111953,76.19
2112001,86.72
2112100,71.2
2112209,88.32
2112233,83.31
2112274,76.32
2112308,78.11
2112407,84.28
2112456,82.45
2112506,77.66
2112605,78.53
2112704,77.57
2112803,86.21
2112852,79.29
2112902,81.39
2113009,76.6
2114007,80.77
2200053,83.11
2200103,78.97
2200202,84.94
2200251,66.39
2200277,70.79
2200301,71.75
2200400,83.02
2200459,82.52
2200509,77.91
2200608,81.85
2200707,77.16
2200806,83.05
2200905,75.91
2200954,65.37
2201002,76.25
2201051,68.7
2201101,81.1
2201150,85.09
2201176,78.09
2201200,75.04
2201309,83.83
2201408,76.64
2201507,74.75
2201556,84.28
2201572,70.68
2201606,73.81
2201705,83.36
2201739,71.36
2201770,71.66
2201804,82.47
2201903,88.1
2201919,77.32
2201929,70.53
2201945,78.43
2201960,75.24
2201988,74.17
2202000,76.54
2202026,76.57
2202059,73.21
2202075,80.96
2202083,80.86
2202091,74.03
2202109,77.4
2202117,69.65
2202133,74.45
2202174,71.8
2202208,84.11
2202251,79.53
2202307,78.63
2202406,77.06
2202455,76.49
2202505,70.49
2202539,68.74
2202554,75.15
2202604,76.96
2202653,70.4
2202703,73.29
2202711,75.37
2202729,69.24
2202737,77.95
2202752,83.69
2202778,74.89
2202802,77.35
2202851,75.22
2202901,86.72
2203008,79.27
2203107,82.02
2203206,87.41
2203230,79.39
2203255,78.62
2203271,73.78
2203305,85.44
2203354,76.19
2203404,81.03
2203420,76.45
2203453,80.71
2203503,75.14
2203602,80.56
2203701,78.04
2203750,74.23
2203800,74.15
2203859,65.32
2203909,89.8
2204006,70.96
2204105,73.82
2204154,72.66
2204204,77.49
2204303,76.33
2204352,73.37
2204402,82.65
2204501,86.56
2204550,73.39
2204600,74.28
2204659,80.17
2204709,76.73
2204808,81.87
2204907,72.33
2205003,71.56
2205102,78.78
2205151,71.82
2205201,68.92
2205250,72.7
2205276,76.04
2205300,80.84
2205359,77.11
2205409,73.31
2205458,69.18
2205508,81.1
2205516,77.51
2205524,86.6
2205532,71.9
2205540,79.92
2205557,77.46
2205565,78.92
2205573,75.88
2205581,82.26
2205599,69.09
2205607,83.09
2205706,77.58
2205805,74.29
2205854,74.32
2205904,80.57
2205953,77.05
2206001,82.69
2206050,65.7
2206100,74.13
2206209,70.57
2206308,79.21
2206357,69.89
2206407,81.93
2206506,73.13
2206605,80.93
2206654,80.78
2206670,72.26
2206696,69.75
2206704,76.21
2206720,76.42
2206753,77.85
2206803,73.19
2206902,74.93
2206951,70.86
2207009,82.67
2207108,77.92
2207207,65.99
2207306,80.42
2207355,76.64
2207405,80.74
2207504,75.8
2207553,65.72
2207603,82.97
2207702,88.26
2207751,74.49
2207777,69.53
2207793,74.21
2207801,77.19
2207850,71.07
2207900,75.19
2207934,80.25
2207959,77.28
2208007,86.29
2208106,72.13
2208205,75.22
2208304,76.74
2208403,80.82
2208502,74.64
2208551,79.51
2208601,73.84
2208650,79.28
2208700,82.07
2208809,74.82
2208858,83.49
2208874,72.86
2208908,83.29
2209005,77.87
2209104,76.11
2209153,76.77
2209203,82.18
2209302,81.73
2209351,73.25
2209377,76.17
2209401,78.85
2209450,78.04
2209500,75.64
2209559,77.18
2209609,77.91
2209658,74.37
2209708,72.99
2209757,82.11
2209807,79.2
2209856,75.21
2209872,73.19
2209906,71.77
2209955,72.33
2209971,76.95
2210003,82.99
2210052,69.87
2210102,79.69
2210201,72.57
2210300,72.34
2210359,83.69
2210375,73.55
2210383,70.82
2210391,77.3
2210409,71.42
2210508,76.66
2210607,85.82
2210623,81.08
2210631,79.18
2210656,72.81
2210706,76.78
2210805,83.53
2210904,78.55
2210938,77.7
2210953,73.75
2210979,81.07
2211001,92.88
2211100,77.02
2211209,86.7
2211308,81.96
2211357,73.5
2211407,78.27
2211506,68.31
2211605,73.1
2211704,71.13
2300101,76.84
2300150,84.03
2300200,78.75
2300309,72.73
2300408,71.66
2300507,80.48
2300606,77.1
2300705,79.67
2300754,80.23
2300804,73.35
2300903,79.72
2301000,86.13
2301109,84.66
2301208,76.89
2301257,77.29
2301307,73.17
2301406,82.79
2301505,75.89
2301604,74.37
2301703,77.55
2301802,78.77
2301851,76.2
2301901,87.61
2301950,79.95
2302008,79.3
2302057,72.21
2302107,83.61
2302206,80.03
2302305,80.62
2302404,75.66
2302503,83.98
2302602,81.03
2302701,77.35
2302800,80.76
2302909,79.61
2303006,77.47
2303105,77.0
2303204,76.89
2303303,74.64
2303402,78.46
2303501,83.86
2303600,73.74
2303659,77.13
2303709,91.58
2303808,77.87
2303907,75.42
2303931,75.02
2303956,79.58
2304004,74.01
2304103,82.12
2304202,88.4
2304236,73.58
2304251,84.76
2304269,73.38
2304277,75.9
2304285,94.11
2304301,75.11
2304350,81.9
2304400,94.38
2304459,80.93
2304509,76.91
2304608,75.28
2304657,73.55
2304707,71.01
2304806,76.94
2304905,79.76
2304954,82.38
2305001,78.87
2305100,78.63
2305209,78.71
2305233,88.61
2305266,73.72
2305308,80.6
2305332,75.63
2305357,81.95
2305407,74.1
2305506,82.99
2305605,76.64
2305654,76.56
2305704,80.75
2305803,79.09
2305902,75.31
2306009,78.35
2306108,79.91
2306207,81.61
2306256,89.79
2306306,81.66
2306405,85.0
2306504,75.28
2306553,81.74
2306603,75.45
2306702,76.71
2306801,79.9
2306900,81.79
2307007,77.71
2307106,78.99
2307205,78.49
2307254,85.74
2307304,89.11
2307403,75.77
2307502,78.65
2307601,85.72
2307635,79.09
2307650,92.79
2307700,89.16
2307809,82.85
2307908,78.14
2308005,78.08
2308104,75.85
2308203,83.6
2308302,78.89
2308351,81.33
2308377,78.27
2308401,79.44
2308500,73.43
2308609,78.63
2308708,79.17
2308807,77.48
2308906,78.09
2309003,75.97
2309102,84.49
2309201,83.64
2309300,79.25
2309409,72.93
2309458,75.94
2309508,77.29
2309607,86.12
2309706,91.37
2309805,83.7
2309904,79.23
2310001,77.78
2310100,82.22
2310209,85.71
2310258,85.8
2310308,74.11
2310407,78.25
2310506,76.49
2310605,84.68
2310704,81.94
2310803,79.47
2310852,84.15
2310902,80.32
2310951,77.14
2311009,77.5
2311108,78.9
2311207,74.05
2311231,77.15
2311264,74.47
2311306,82.59
2311355,70.88
2311405,82.23
2311504,78.35
2311603,83.0
2311702,78.27
2311801,84.55
2311900,72.3
2311959,71.85
2312007,76.53
2312106,77.19
2312205,78.86
2312304,79.81
2312403,87.73
2312502,79.66
2312601,83.2
2312700,78.63
2312809,74.96
2312908,87.12
2313005,78.32
2313104,81.17
2313203,74.9
2313252,73.31
2313302,79.39
2313351,76.64
2313401,83.25
2313500,81.51
2313559,78.3
2313609,81.97
2313708,76.24
2313757,78.72
2313807,81.99
2313906,75.11
2313955,80.24
2314003,78.45
2314102,77.1
2400109,86.81
2400208,82.33
2400307,77.37
2400406,79.08
2400505,77.58
2400604,78.46
2400703,83.87
2400802,80.71
2400901,78.17
2401008,79.54
2401107,87.91
2401206,79.03
2401305,76.35
2401404,82.88
2401453,79.42
2401503,78.66
2401602,78.92
2401651,78.92
2401701,79.41
2401800,78.9
2401859,82.36
2401909,79.17
2402006,88.92
2402105,82.43
2402204,80.65
2402303,80.14
2402402,88.71
2402501,80.26
2402600,84.02
2402709,78.67
2402808,77.07
2402907,72.69
2403004,84.32
2403103,86.43
2403202,77.91
2403251,94.91
2403301,81.19
2403400,82.1
2403509,72.71
2403608,91.38
2403707,82.62
2403756,76.68
2403806,83.48
2403905,78.1
2404002,79.77
2404101,78.4
2404200,84.51
2404309,80.62
2404408,82.24
2404507,83.96
2404606,74.81
2404705,77.77
2404804,86.53
2404853,80.76
2404903,80.31
2405009,79.82
2405108,77.2
2405207,77.28
2405306,72.17
2405405,75.38
2405504,78.59
2405603,80.34
2405702,83.93
2405801,79.85
2405900,77.94
2406007,77.13
2406106,76.4
2406155,75.47
2406205,75.62
2406304,70.97
2406403,81.23
2406502,80.58
2406601,74.91
2406700,81.81
2406809,78.35
2406908,82.49
2407005,78.21
2407104,84.59
2407203,85.08
2407252,78.4
2407302,74.46
2407401,84.63
2407500,81.59
2407609,75.88
2407708,77.89
2407807,79.38
2407906,77.86
2408003,89.96
2408102,93.36
2408201,85.91
2408300,76.47
2408409,74.85
2408508,83.92
2408607,75.99
2408706,76.81
2408805,76.88
2408904,87.63
2408953,80.88
2409100,77.74
2409209,78.91
2409308,78.92
2409332,78.76
2409407,87.04
2409506,76.65
2409605,75.4
2409704,75.57
2409803,78.06
2409902,82.48
2410009,78.69
2410108,76.94
2410207,81.03
2410256,76.11
2410306,76.17
2410405,77.61
2410504,80.76
2410603,80.21
2410702,74.4
2410801,79.67
2410900,79.5
2411007,77.61
2411056,86.67
2411106,77.53
2411205,81.72
2411403,74.36
2411429,86.09
2411502,76.85
2411601,80.63
2411700,76.12
2411809,78.96
2411908,78.37
2412005,89.82
2412104,85.02
2412203,83.61
2412302,77.5
2412401,88.88
2412500,76.13
2412559,80.87
2412609,81.12
2412708,79.28
2412807,78.5
2412906,77.75
2413003,82.88
2413102,75.07
2413201,82.15
2413300,72.96
2413359,81.58
2413409,78.85
2413508,74.03
2413557,79.38
2413607,78.12
2413706,76.05
2413805,83.19
2413904,74.57
2414001,79.61
2414100,77.85
2414159,81.76
2414209,88.14
