id_municipio,populacao_2022,area_km2,densidade_hab_km2
1100015,21494,7067.127,3.04
1100023,96833,4426.571,21.88
1100031,5351,1314.352,4.07
1100049,86887,3793.0,22.91
1100056,15890,2783.3,5.71
1100064,15663,1451.06,10.79
1100072,7519,3060.321,2.46
1100080,12627,4987.177,2.53
1100098,29414,4518.038,6.51
1100106,39387,24856.877,1.58
1100114,50591,2944.128,17.18
1100122,124333,6896.649,18.03
1100130,30707,8509.27,3.61
1100148,15679,1703.008,9.21
1100155,35044,1969.85,17.79
1100189,35079,6241.016,5.62
1100205,460434,34090.952,13.51
1100254,19327,1758.465,10.99
1100262,3471,1717.64,2.02
1100288,56406,1457.811,38.69
1100296,7419,1197.796,6.19
1100304,95832,11699.15,8.19
1100320,21635,7460.117,2.9
1100338,25444,10070.49,2.53
1100346,13117,3029.189,4.33
1100379,11479,3958.273,2.9
1100403,16320,2651.822,6.15
1100452,27992,3265.809,8.57
1100502,7667,843.446,9.09
1100601,4150,1961.778,2.12
1100700,8844,3442.005,2.57
1100809,22310,6843.868,3.26
1100908,3233,892.841,3.62
1100924,9324,5126.723,1.82
1100940,14863,3863.946,3.85
1101005,8001,5067.384,1.58
1101104,8548,4081.58,2.09
1101203,6466,798.083,8.1
1101302,9235,1191.875,7.75
1101401,11548,1931.378,5.98
1101435,6200,807.125,7.68
1101450,4125,2548.683,1.62
1101468,2156,6014.733,0.36
1101476,3076,605.692,5.08
1101484,5258,541.647,9.71
1101492,16286,10948.593,1.49
1101500,11171,3773.505,2.96
1101559,4256,459.978,9.25
1101609,8113,2197.413,3.69
1101708,10725,831.857,12.89
1101757,7788,3135.106,2.48
1101807,6479,965.676,6.71
1200013,14021,1811.613,7.74
1200054,8100,4979.073,1.63
1200104,26000,3928.174,6.62
1200138,12917,3034.869,4.26
1200179,10392,1705.824,6.09
1200203,91888,8783.47,10.46
1200252,18757,1652.674,11.35
1200302,35426,27976.874,1.27
1200328,9222,5357.227,1.72
1200336,19294,5451.617,3.54
1200344,11996,10630.6,1.13
1200351,17093,8190.953,2.09
1200385,16560,1952.555,8.48
1200393,10735,6446.385,1.67
1200401,364756,8835.154,41.28
1200427,14938,3076.342,4.86
1200435,6723,6155.858,1.09
1200450,21454,2320.169,9.25
1200500,41343,23759.512,1.74
1200609,43467,20169.485,2.16
1200708,18243,5350.586,3.41
1200807,16693,2604.417,6.41
1300029,15866,5923.461,2.68
1300060,10819,4754.109,2.28
1300086,9962,2446.121,4.07
1300102,17194,6036.38,2.85
1300144,20647,54240.545,0.38
1300201,15314,76507.617,0.2
1300300,41564,7652.852,5.43
1300409,18834,122461.086,0.15
1300508,31051,5751.765,5.4
1300607,37648,8705.441,4.32
1300631,20718,17472.779,1.19
1300680,23785,2589.407,9.19
1300706,35447,21938.583,1.62
1300805,33080,44236.184,0.75
1300839,13469,9455.539,1.42
1300904,16869,33642.732,0.5
1301001,28742,25778.658,1.11
1301100,30792,6096.212,5.05
1301159,19637,2627.474,7.47
1301209,70616,57970.768,1.22
1301308,23549,18700.713,1.26
1301407,33170,14966.242,2.22
1301506,17186,7505.794,2.29
1301605,25871,12155.427,2.13
1301654,13815,7583.534,1.82
1301704,57473,33111.129,1.74
1301803,24311,12109.779,2.01
1301852,61163,2216.817,27.59
1301902,103598,8891.906,11.65
1301951,10937,25260.429,0.43
1302009,10162,4335.075,2.34
1302108,8858,55827.203,0.16
1302207,10742,19442.548,0.55
1302306,25172,69457.415,0.36
1302405,45448,68262.68,0.67
1302504,101883,7336.579,13.89
1302553,17107,3973.258,4.31
1302603,2063689,11401.092,181.01
1302702,53914,48315.038,1.12
1302801,15529,16830.827,0.92
1302900,61204,39991.066,1.53
1303007,20136,14107.04,1.43
1303106,27062,5578.132,4.85
1303205,15761,37776.77,0.42
1303304,23818,41179.656,0.58
1303403,96372,5956.047,16.18
1303502,19373,41624.664,0.47
1303536,30668,25459.099,1.2
1303569,24936,5815.622,4.29
1303601,14164,62800.078,0.23
1303700,28211,12366.214,2.28
1303809,51795,109192.562,0.47
1303908,32967,19658.502,1.68
1303957,11670,10647.463,1.1
1304005,11559,3723.382,3.1
1304062,66764,3260.103,20.48
1304104,19599,84946.035,0.23
1304203,73669,23692.223,3.11
1304237,19247,6446.894,2.99
1304260,14431,10274.677,1.4
1304302,18631,27901.962,0.67
1304401,23945,2886.494,8.3
1400027,13927,28473.45,0.49
1400050,21096,25454.297,0.83
1400100,413486,5687.037,72.71
1400159,13923,8079.914,1.72
1400175,18682,7664.831,2.44
1400209,20957,47379.903,0.44
1400233,10656,12065.896,0.88
1400282,10023,14011.695,0.72
1400308,18095,12337.851,1.47
1400407,13986,6959.868,2.01
1400456,19305,8025.045,2.41
1400472,32647,33579.739,0.97
1400506,8858,4284.505,2.07
1400605,7315,1526.898,4.79
1400704,13751,8113.598,1.69
1500107,158188,1610.654,98.21
1500131,6136,614.131,9.99
1500206,59023,4344.384,13.59
1500305,37765,8338.438,4.53
1500347,18080,7113.955,2.54
1500404,69377,23645.452,2.93
1500503,34280,72954.798,0.47
1500602,126279,159533.306,0.79
1500701,28011,6913.64,4.05
1500800,478778,190.581,2512.2
1500859,31850,11895.27,2.68
1500909,44573,1099.619,40.53
1500958,23774,1811.84,13.12
1501006,18290,17074.053,1.07
1501105,31892,4397.321,7.25
1501204,51641,3759.834,13.73
1501253,4031,2956.649,1.36
1501303,126650,1310.338,96.65
1501402,1303403,1059.466,1230.25
1501451,18099,4398.418,4.11
1501501,63567,187.826,338.44
1501576,18005,2816.604,6.39
1501600,12622,586.976,21.5
1501709,123082,2124.734,57.93
1501725,24718,6362.575,3.88
1501758,6783,1288.477,5.26
1501782,45712,3941.904,11.6
1501808,106968,9566.572,11.18
1501907,24383,994.691,24.51
1501956,19630,2419.6,8.11
1502004,23981,3100.261,7.74
1502103,134184,3081.367,43.55
1502152,77079,3146.821,24.49
1502202,70394,621.483,113.27
1502301,56506,2901.026,19.48
1502400,192256,1029.3,186.78
1502509,20757,12534.995,1.66
1502608,12868,384.068,33.5
1502707,44617,5829.482,7.65
1502756,26881,700.59,38.37
1502764,14036,17085.001,0.82
1502772,19950,2369.096,8.42
1502806,33903,3617.252,9.37
1502855,14117,1431.134,9.86
1502905,41262,676.322,61.01
1502939,58484,5268.809,11.1
1502954,28192,2956.691,9.53
1503002,8728,11771.669,0.74
1503044,17898,3444.285,5.2
1503077,24703,1608.014,15.36
1503093,26362,7023.948,3.75
1503101,31786,8570.286,3.71
1503200,35797,785.983,45.54
1503309,64831,1996.79,32.47
1503408,10325,472.605,21.85
1503457,30329,5215.555,5.82
1503507,30955,1385.209,22.35
1503606,123314,62042.472,1.99
1503705,49754,7880.109,6.31
1503754,24042,53304.563,0.45
1503804,37707,2008.315,18.78
1503903,50881,8305.454,6.13
1504000,29569,1490.186,19.84
1504059,34353,469.341,73.19
1504109,8115,323.984,25.05
1504208,266533,15128.058,17.62
1504307,25971,807.628,32.16
1504406,26573,804.625,33.03
1504422,111785,103.214,1083.04
1504455,27094,8272.629,3.28
1504505,27881,6774.065,4.12
1504604,27198,871.171,31.22
1504703,84094,9094.139,9.25
1504752,23501,4988.236,4.71
1504802,60012,18152.559,3.31
1504901,45368,3763.337,12.06
1504950,20478,2808.195,7.29
1504976,13955,1564.184,8.92
1505007,12806,489.853,26.14
1505031,33638,38162.002,0.88
1505064,60732,15398.723,3.94
1505106,52229,28011.041,1.86
1505205,33844,3852.291,8.79
1505304,68294,107613.838,0.63
1505403,17855,561.71,31.79
1505437,32467,14410.567,2.25
1505486,41097,11832.323,3.47
