id_municipio,pib_mil_reais,ano_pib
1100015,734467,2021
1100023,3211294,2021
1100031,238414,2021
1100049,2792506,2021
1100056,743062,2021
1100064,424846,2021
1100072,396740,2021
1100080,316672,2021
1100098,773372,2021
1100106,1054255,2021
1100114,1764718,2021
1100122,4230355,2021
1100130,890319,2021
1100148,549853,2021
1100155,986046,2021
1100189,1642621,2021
1100205,20056138,2021
1100254,560210,2021
1100262,184428,2021
1100288,1565241,2021
1100296,213590,2021
1100304,4215442,2021
1100320,905341,2021
1100338,742686,2021
1100346,352630,2021
1100379,483672,2021
1100403,510740,2021
1100452,966556,2021
1100502,231501,2021
1100601,275338,2021
1100700,369127,2021
1100809,655569,2021
1100908,99627,2021
1100924,468793,2021
1100940,487756,2021
1101005,239331,2021
1101104,209927,2021
1101203,297876,2021
1101302,262627,2021
1101401,389781,2021
1101435,157321,2021
1101450,155430,2021
1101468,246209,2021
1101476,107030,2021
1101484,130675,2021
1101492,488141,2021
1101500,332986,2021
1101559,121304,2021
1101609,257436,2021
1101708,273505,2021
1101757,220948,2021
1101807,185648,2021
1200013,398725,2021
1200054,133916,2021
1200104,685636,2021
1200138,300830,2021
1200179,512353,2021
1200203,2058630,2021
1200252,644542,2021
1200302,567040,2021
1200328,113975,2021
1200336,269205,2021
1200344,184904,2021
1200351,256865,2021
1200385,601471,2021
1200393,160535,2021
1200401,10955675,2021
1200427,255649,2021
1200435,108545,2021
1200450,779672,2021
1200500,748094,2021
1200609,711884,2021
1200708,454981,2021
1200807,471315,2021
1300029,217333,2021
1300060,118872,2021
1300086,138599,2021
1300102,248435,2021
1300144,297810,2021
1300201,184947,2021
1300300,506341,2021
1300409,245622,2021
1300508,344890,2021
1300607,388781,2021
1300631,211871,2021
1300680,182412,2021
1300706,512796,2021
1300805,402131,2021
1300839,177894,2021
1300904,154316,2021
1301001,370663,2021
1301100,395194,2021
1301159,413374,2021
1301209,3380325,2021
1301308,531995,2021
1301407,568036,2021
1301506,215527,2021
1301605,222773,2021
1301654,177320,2021
1301704,860168,2021
1301803,216519,2021
1301852,1001862,2021
1301902,2350463,2021
1301951,135620,2021
1302009,152509,2021
1302108,85809,2021
1302207,138074,2021
1302306,266377,2021
1302405,625198,2021
1302504,1544675,2021
1302553,311335,2021
1302603,103281400,2021
1302702,686279,2021
1302801,176217,2021
1302900,595826,2021
1303007,207005,2021
1303106,341652,2021
1303205,186533,2021
1303304,252422,2021
1303403,1426972,2021
1303502,199541,2021
1303536,1031905,2021
1303569,407146,2021
1303601,185817,2021
1303700,237314,2021
1303809,423055,2021
1303908,334131,2021
1303957,136609,2021
1304005,175042,2021
1304062,758035,2021
1304104,239944,2021
1304203,1098392,2021
1304237,185410,2021
1304260,229209,2021
1304302,205656,2021
1304401,232661,2021
1400027,240826,2021
1400050,385507,2021
1400100,13493364,2021
1400159,522405,2021
1400175,353071,2021
1400209,453298,2021
1400233,236788,2021
1400282,208477,2021
1400308,393852,2021
1400407,202859,2021
1400456,329092,2021
1400472,732356,2021
1400506,327768,2021
1400605,178972,2021
1400704,143945,2021
1500107,1947974,2021
1500131,105404,2021
1500206,1432521,2021
1500305,443759,2021
1500347,642853,2021
1500404,744811,2021
1500503,687773,2021
1500602,3118777,2021
1500701,258574,2021
1500800,8937579,2021
1500859,587647,2021
1500909,363265,2021
1500958,308260,2021
1501006,151776,2021
1501105,250290,2021
1501204,561719,2021
1501253,128925,2021
1501303,9242378,2021
1501402,33567695,2021
1501451,236958,2021
1501501,1986152,2021
1501576,243654,2021
1501600,206570,2021
1501709,1388411,2021
1501725,379575,2021
1501758,114974,2021
1501782,793768,2021
1501808,892630,2021
1501907,536456,2021
1501956,227354,2021
1502004,255901,2021
1502103,1392449,2021
1502152,34987915,2021
1502202,1426639,2021
1502301,615256,2021
1502400,4707381,2021
1502509,247974,2021
1502608,100826,2021
1502707,662415,2021
1502756,419795,2021
1502764,406772,2021
1502772,3666991,2021
1502806,282042,2021
1502855,149514,2021
1502905,369391,2021
1502939,940080,2021
1502954,555637,2021
1503002,76574,2021
1503044,602377,2021
1503077,275694,2021
1503093,506230,2021
1503101,333716,2021
1503200,415581,2021
1503309,690510,2021
1503408,174530,2021
1503457,624646,2021
1503507,277699,2021
1503606,3077344,2021
1503705,841410,2021
1503754,625353,2021
1503804,615189,2021
1503903,1450846,2021
1504000,502725,2021
1504059,339947,2021
1504109,98319,2021
1504208,13519525,2021
1504307,289582,2021
1504406,263294,2021
1504422,2577121,2021
1504455,1023645,2021
1504505,216421,2021
1504604,451566,2021
1504703,1333107,2021
1504752,288393,2021
1504802,806682,2021
1504901,338390,2021
1504950,350593,2021
1504976,192412,2021
1505007,147341,2021
1505031,971105,2021
1505064,1116164,2021
1505106,965319,2021
1505205,418634,2021
1505304,2277390,2021
1505403,200487,2021
1505437,1301994,2021
1505486,867036,2021
1505494,98673,2021
1505502,4279105,2021
1505536,49756255,2021
1505551,114746,2021
1505601,72240,2021
1505635,292566,2021
1505650,322977,2021
1505700,274903,2021
1505809,944900,2021
1505908,404115,2021
1506005,437647,2021
1506104,321570,2021
1506112,120746,2021
1506138,2551566,2021
1506161,601635,2021
1506187,733550,2021
1506195,496483,2021
1506203,641473,2021
1506302,210115,2021
1506351,240288,2021
1506401,95936,2021
1506500,934543,2021
1506559,195899,2021
1506583,1071990,2021
1506609,371437,2021
1506708,1381466,2021
1506807,6387634,2021
1506906,59961,2021
1507003,475226,2021
1507102,182987,2021
1507151,358711,2021
1507201,438000,2021
1507300,2008369,2021
1507409,264186,2021
1507458,710322,2021
1507466,57326,2021
1507474,181939,2021
1507508,186695,2021
1507607,792510,2021
1507706,244688,2021
1507755,141045,2021
1507805,246022,2021
1507904,241545,2021
1507953,1291017,2021
1507961,82919,2021
1507979,519258,2021
1508001,1039721,2021
1508035,285004,2021
1508050,327330,2021
1508084,984036,2021
1508100,5612935,2021
1508126,1995463,2021
1508159,774004,2021
1508209,476447,2021
1508308,617944,2021
1508357,4230225,2021
1508407,1604337,2021
1600055,92139,2021
1600105,159528,2021
1600154,453333,2021
1600204,186852,2021
1600212,94992,2021
1600238,578737,2021
1600253,87878,2021
1600279,1134544,2021
1600303,12938091,2021
1600402,374987,2021
1600501,529043,2021
1600535,374265,2021
1600550,84579,2021
1600600,2512916,2021
1600709,261070,2021
1600808,236897,2021
1700251,112135,2021
1700301,165480,2021
1700350,616571,2021
1700400,273741,2021
1700707,474111,2021
1701002,159769,2021
1701051,48276,2021
1701101,255912,2021
1701309,98441,2021
1701903,240246,2021
1702000,349050,2021
1702109,5239050,2021
1702158,101858,2021
1702208,529290,2021
1702307,324523,2021
1702406,223310,2021
1702554,305118,2021
1702703,58806,2021
1702901,141092,2021
1703008,158741,2021
1703057,178654,2021
1703073,113260,2021
1703107,122016,2021
1703206,102684,2021
1703305,139410,2021
1703602,75634,2021
1703701,272945,2021
1703800,161641,2021
1703826,58547,2021
1703842,1004931,2021
1703867,517715,2021
1703883,69222,2021
1703891,50561,2021
1703909,389493,2021
1704105,64557,2021
1704600,39824,2021
1705102,148973,2021
1705508,862139,2021
1705557,76524,2021
1705607,67829,2021
1706001,203473,2021
1706100,177294,2021
1706258,78645,2021
1706506,241932,2021
1707009,644829,2021
1707108,249235,2021
