variavel,shap_medio_absoluto,shap_medio,descricao,direcao
percentil_uf_2023,0.69993,0.06665,Percentil do município dentro da UF em 2023,aumenta a chance
media_portugues_2023,0.68011,0.04088,Proficiência média em Português em 2023 (pontos Saeb),aumenta a chance
sigla_uf_BA,0.53574,-0.02618,Unidade da Federação = BA,reduz a chance
gap_2023_para_meta_2025,0.49405,-0.01831,Distância entre o resultado de 2023 e a meta de 2025 (p.p.),reduz a chance
participacao_2023,0.32663,0.00603,Participação dos alunos na avaliação de 2023 (%),aumenta a chance
sigla_uf_CE,0.31024,-0.05939,Unidade da Federação = CE,reduz a chance
regiao_Sudeste,0.30921,0.0602,Região do país = Sudeste,aumenta a chance
sigla_uf_GO,0.29446,-0.08749,Unidade da Federação = GO,reduz a chance
sigla_uf_SP,0.27671,-0.03753,Unidade da Federação = SP,reduz a chance
sigla_uf_RS,0.27646,-0.05127,Unidade da Federação = RS,reduz a chance
regiao_Nordeste,0.27032,-0.00768,Região do país = Nordeste,reduz a chance
porte_relativo_na_uf,0.24308,0.01299,Posição relativa de população dentro da UF (0 a 1),aumenta a chance
ranking_uf_2023,0.23864,0.00238,Posição do município no ranking da UF em 2023,aumenta a chance
log_populacao,0.22904,-0.00895,Log da população residente (Censo 2022),reduz a chance
porte_municipio_10-20 mil,0.21485,-0.00394,Faixa populacional do município = 10-20 mil,reduz a chance
porte_municipio_Ate 5 mil,0.20416,0.00568,Faixa populacional do município = Ate 5 mil,aumenta a chance
sigla_uf_PR,0.19011,-0.03766,Unidade da Federação = PR,reduz a chance
porte_municipio_5-10 mil,0.17769,0.00144,Faixa populacional do município = 5-10 mil,aumenta a chance
taxa_alfabetizacao_15mais,0.15615,-0.00253,"Alfabetização da população de 15+ anos (Censo 2022, %)",reduz a chance
regiao_Norte,0.14618,0.03036,Região do país = Norte,aumenta a chance
log_pib_per_capita,0.14343,0.00754,Log do PIB per capita municipal (2021),aumenta a chance
sigla_uf_RN,0.12453,0.02237,Unidade da Federação = RN,aumenta a chance
dif_crianca_adulto,0.11153,-0.00357,Diferença entre alfabetização infantil e adulta (p.p.),reduz a chance
