regiao,sigla_uf,municipios,taxa_2024,projecao_2030,meta_2030,perc_atinge_2030,perc_em_retrocesso
Sul,RS,443,52.463,8.912,80.0,0.02,0.896
Nordeste,BA,407,36.599,33.815,80.0,0.039,0.541
Norte,AM,62,44.798,40.503,80.0,0.129,0.581
Norte,PA,144,48.721,56.039,80.0,0.153,0.438
Nordeste,SE,75,36.447,58.351,80.0,0.2,0.307
Nordeste,RN,165,41.831,57.758,80.0,0.236,0.376
Sudeste,RJ,92,58.736,69.164,80.0,0.283,0.337
Sul,PR,398,74.1,67.293,80.0,0.289,0.626
Norte,AP,16,49.449,63.382,80.0,0.375,0.312
Nordeste,MA,217,63.297,66.671,80.0,0.378,0.461
Sul,SC,289,67.467,69.427,80.0,0.408,0.453
Nordeste,AL,102,52.634,71.396,80.0,0.412,0.216
Sudeste,SP,624,64.048,71.279,80.0,0.413,0.377
Norte,RO,52,67.182,71.862,80.0,0.442,0.385
Nordeste,PB,221,59.359,65.072,80.0,0.457,0.439
Norte,TO,139,46.513,69.862,80.0,0.489,0.281
Nordeste,PI,224,65.994,74.645,80.0,0.554,0.384
Nordeste,PE,184,65.583,79.001,80.0,0.571,0.321
Centro-Oeste,MS,79,59.032,81.661,80.0,0.62,0.253
Centro-Oeste,MT,139,66.111,81.524,80.0,0.647,0.288
Sudeste,ES,78,78.19,89.302,80.0,0.808,0.295
Nordeste,CE,184,90.31,90.369,80.0,0.848,0.435
Centro-Oeste,GO,244,80.21,92.861,80.0,0.852,0.213
Sudeste,MG,818,75.027,93.223,80.0,0.857,0.196
