agente,rodada,regret_acumulado,ganho_acumulado,taxa_acerto
Epsilon-Greedy,0,0.255,0.0,0.0
Epsilon-Greedy,25,11.474,55.116,0.2692
Epsilon-Greedy,50,17.404,131.923,0.4118
Epsilon-Greedy,75,19.414,205.947,0.5395
Epsilon-Greedy,100,25.469,272.69,0.5842
Epsilon-Greedy,125,27.765,342.645,0.6349
Epsilon-Greedy,150,30.019,410.516,0.6755
Epsilon-Greedy,175,33.448,470.611,0.6932
Epsilon-Greedy,200,36.146,555.702,0.7114
Epsilon-Greedy,225,38.573,644.792,0.7257
Epsilon-Greedy,250,43.058,697.348,0.7291
Epsilon-Greedy,275,47.479,759.44,0.7319
Epsilon-Greedy,300,48.375,821.714,0.7442
Epsilon-Greedy,325,51.08,895.12,0.7515
Epsilon-Greedy,350,52.326,985.344,0.7635
Epsilon-Greedy,375,55.887,1058.802,0.766
Epsilon-Greedy,400,60.835,1126.892,0.7631
Epsilon-Greedy,425,63.05,1180.046,0.7653
Epsilon-Greedy,450,65.412,1246.985,0.7738
Epsilon-Greedy,475,70.87,1310.186,0.7731
Epsilon-Greedy,500,73.547,1364.995,0.7725
Epsilon-Greedy,525,76.256,1430.709,0.7776
Epsilon-Greedy,550,77.989,1509.254,0.7786
Epsilon-Greedy,575,82.486,1577.108,0.7812
Epsilon-Greedy,600,85.772,1662.598,0.7837
Epsilon-Greedy,625,90.139,1734.403,0.7875
Epsilon-Greedy,650,94.102,1789.191,0.7911
Epsilon-Greedy,675,99.763,1864.491,0.7899
Epsilon-Greedy,700,106.508,1934.191,0.7889
Epsilon-Greedy,725,107.876,1998.504,0.792
Epsilon-Greedy,750,111.566,2065.487,0.7936
Epsilon-Greedy,775,113.185,2121.529,0.7951
Epsilon-Greedy,800,115.072,2190.149,0.7965
Epsilon-Greedy,825,117.195,2269.45,0.8002
Epsilon-Greedy,850,119.033,2337.407,0.8026
Epsilon-Greedy,875,119.033,2407.315,0.8082
Epsilon-Greedy,900,122.661,2474.312,0.8102
Epsilon-Greedy,925,125.202,2527.589,0.8099
Epsilon-Greedy,950,125.202,2617.7,0.8149
Epsilon-Greedy,975,127.446,2692.252,0.8186
Epsilon-Greedy,1000,127.446,2758.264,0.8232
Epsilon-Greedy,1025,128.494,2811.664,0.8255
Epsilon-Greedy,1050,128.556,2887.632,0.8287
Epsilon-Greedy,1075,134.956,2966.439,0.8271
Epsilon-Greedy,1100,137.199,3036.516,0.8302
Epsilon-Greedy,1125,139.295,3113.788,0.8304
Epsilon-Greedy,1150,139.998,3196.786,0.8323
Epsilon-Greedy,1175,140.792,3285.5,0.835
Epsilon-Greedy,1200,141.043,3360.799,0.8376
Epsilon-Greedy,1225,142.895,3408.72,0.8393
Epsilon-Greedy,1250,143.757,3481.44,0.8417
Epsilon-Greedy,1275,147.581,3552.217,0.8425
Epsilon-Greedy,1300,148.816,3615.208,0.8432
Epsilon-Greedy,1325,149.068,3667.186,0.8454
Epsilon-Greedy,1350,151.728,3743.458,0.8468
Epsilon-Greedy,1375,154.235,3811.012,0.8474
Epsilon-Greedy,1400,155.097,3894.138,0.8494
Epsilon-Greedy,1425,157.842,3957.155,0.8499
Epsilon-Greedy,1450,157.842,4042.804,0.8525
Epsilon-Greedy,1475,158.635,4113.718,0.8543
Epsilon-Greedy,1500,159.561,4200.908,0.8561
Epsilon-Greedy,1525,160.678,4269.38,0.8571
Epsilon-Greedy,1550,162.51,4342.725,0.8575
Epsilon-Greedy,1575,162.761,4426.113,0.8591
Epsilon-Greedy,1600,162.761,4500.161,0.8613
Epsilon-Greedy,1625,165.256,4571.82,0.8622
Epsilon-Greedy,1650,165.256,4636.215,0.8643
Epsilon-Greedy,1675,165.256,4714.95,0.8663
Epsilon-Greedy,1700,165.256,4775.241,0.8683
Epsilon-Greedy,1725,166.975,4832.102,0.8691
Epsilon-Greedy,1750,167.226,4890.915,0.8704
Epsilon-Greedy,1775,168.339,4971.961,0.8711
Epsilon-Greedy,1800,169.132,5061.839,0.8723
Epsilon-Greedy,1825,172.049,5131.066,0.8724
Epsilon-Greedy,1850,172.049,5193.68,0.8741
Epsilon-Greedy,1875,172.049,5280.557,0.8758
Epsilon-Greedy,1900,173.037,5338.675,0.8764
Epsilon-Greedy,1925,175.126,5397.015,0.8759
Epsilon-Greedy,1950,175.377,5462.912,0.877
Epsilon-Greedy,1975,176.673,5533.523,0.877
Epsilon-Greedy,2000,178.569,5593.93,0.8766
Epsilon-Greedy,2025,179.495,5661.365,0.8776
Epsilon-Greedy,2050,179.495,5727.774,0.8791
Epsilon-Greedy,2075,179.746,5802.506,0.8801
Epsilon-Greedy,2100,179.746,5891.312,0.8815
Epsilon-Greedy,2125,179.746,5959.941,0.8829
Epsilon-Greedy,2150,179.997,6036.061,0.8838
Epsilon-Greedy,2175,180.052,6111.939,0.8847
Epsilon-Greedy,2200,180.914,6185.969,0.8855
Epsilon-Greedy,2225,181.168,6265.455,0.8863
Epsilon-Greedy,2250,181.168,6335.731,0.8876
Epsilon-Greedy,2275,182.18,6402.692,0.8871
Epsilon-Greedy,2300,182.431,6492.036,0.8879
Epsilon-Greedy,2325,182.431,6562.511,0.8891
Epsilon-Greedy,2350,182.682,6633.603,0.8898
Epsilon-Greedy,2375,182.933,6699.429,0.8906
Epsilon-Greedy,2400,183.188,6780.926,0.8913
Epsilon-Greedy,2425,183.749,6846.728,0.8912
Epsilon-Greedy,2450,185.468,6908.258,0.8915
Epsilon-Greedy,2475,185.468,6978.091,0.8926
Epsilon-Greedy,2500,185.719,7067.429,0.8932
Epsilon-Greedy,2525,185.97,7125.874,0.8939
Epsilon-Greedy,2550,186.221,7199.005,0.8946
Epsilon-Greedy,2575,186.221,7291.673,0.8956
Epsilon-Greedy,2600,188.527,7348.687,0.8958
Epsilon-Greedy,2625,189.28,7413.381,0.8957
Epsilon-Greedy,2650,189.531,7481.754,0.8963
Epsilon-Greedy,2675,189.531,7552.649,0.8972
Epsilon-Greedy,2700,189.531,7644.403,0.8982
Epsilon-Greedy,2725,190.034,7710.392,0.8984
Epsilon-Greedy,2750,192.277,7790.685,0.8989
Epsilon-Greedy,2775,192.277,7858.258,0.8999
Epsilon-Greedy,2800,193.139,7926.549,0.9004
Epsilon-Greedy,2825,195.513,8014.312,0.9002
Epsilon-Greedy,2850,195.764,8095.463,0.9007
Epsilon-Greedy,2875,195.764,8146.924,0.9016
Epsilon-Greedy,2900,197.346,8212.694,0.9018
Epsilon-Greedy,2925,197.597,8276.321,0.9023
Epsilon-Greedy,2950,197.848,8345.293,0.9027
Epsilon-Greedy,2975,198.099,8407.313,0.9032
Epsilon-Greedy,3000,198.099,8490.706,0.904
Epsilon-Greedy,3025,198.961,8558.112,0.9045
Epsilon-Greedy,3050,200.542,8607.045,0.9046
Epsilon-Greedy,3075,200.855,8687.009,0.9047
Epsilon-Greedy,3100,201.717,8767.563,0.9052
Epsilon-Greedy,3125,201.717,8837.68,0.906
Epsilon-Greedy,3150,201.717,8904.882,0.9067
Epsilon-Greedy,3175,201.717,8976.894,0.9074
Epsilon-Greedy,3200,203.012,9033.218,0.9072
Epsilon-Greedy,3225,203.515,9122.778,0.9073
Epsilon-Greedy,3250,203.577,9194.591,0.9077
Epsilon-Greedy,3275,203.828,9292.562,0.9081
Epsilon-Greedy,3300,204.69,9343.121,0.9085
Epsilon-Greedy,3325,206.274,9404.198,0.9086
Epsilon-Greedy,3350,206.274,9453.378,0.9093
Epsilon-Greedy,3375,206.526,9505.896,0.9097
Epsilon-Greedy,3400,206.78,9568.427,0.91
Epsilon-Greedy,3425,206.78,9620.901,0.9107
Epsilon-Greedy,3450,206.78,9686.89,0.9113
Epsilon-Greedy,3475,209.526,9775.14,0.9111
Epsilon-Greedy,3500,209.526,9847.615,0.9117
Epsilon-Greedy,3525,209.777,9903.149,0.9121
Epsilon-Greedy,3550,209.777,9972.104,0.9127
Epsilon-Greedy,3575,209.777,10038.559,0.9133
Epsilon-Greedy,3600,209.777,10091.152,0.9139
Epsilon-Greedy,3625,209.777,10154.833,0.9145
Epsilon-Greedy,3650,210.028,10223.578,0.9148
Epsilon-Greedy,3675,211.073,10309.164,0.9149
Epsilon-Greedy,3700,211.324,10374.402,0.9152
Epsilon-Greedy,3725,211.324,10462.824,0.9157
Epsilon-Greedy,3750,213.156,10514.081,0.9155
Epsilon-Greedy,3775,213.156,10582.067,0.916
Epsilon-Greedy,3800,213.658,10642.265,0.9161
Epsilon-Greedy,3825,213.658,10710.857,0.9166
Epsilon-Greedy,3850,216.153,10789.599,0.9166
Epsilon-Greedy,3875,216.404,10858.536,0.9169
Epsilon-Greedy,3900,216.655,10926.452,0.9172
Epsilon-Greedy,3925,216.655,11019.44,0.9177
Epsilon-Greedy,3950,216.655,11090.9,0.9182
Epsilon-Greedy,3975,216.655,11155.292,0.9188
UCB,0,0.255,0.0,0.0
UCB,25,7.143,59.231,0.5385
UCB,50,7.362,141.494,0.6863
UCB,75,7.362,217.529,0.7895
UCB,100,7.362,290.183,0.8416
UCB,125,7.362,362.434,0.873
UCB,150,7.362,432.559,0.894
UCB,175,7.362,496.083,0.9091
UCB,200,7.48,583.754,0.9154
UCB,225,7.731,675.02,0.9204
UCB,250,7.731,732.06,0.9283
UCB,275,8.125,798.179,0.9312
UCB,300,8.481,860.995,0.9269
UCB,325,8.599,936.891,0.9294
UCB,350,8.599,1028.36,0.9345
UCB,375,8.599,1105.379,0.9388
UCB,400,8.718,1178.298,0.9401
UCB,425,8.946,1233.416,0.9366
UCB,450,9.064,1302.598,0.9379
UCB,475,9.183,1371.139,0.9391
UCB,500,9.301,1428.403,0.9401
UCB,525,9.301,1496.826,0.943
UCB,550,9.775,1576.63,0.9383
UCB,575,9.775,1648.982,0.941
UCB,600,9.775,1737.757,0.9434
UCB,625,9.829,1813.875,0.9441
UCB,650,9.829,1872.625,0.9462
UCB,675,9.948,1953.468,0.9467
UCB,700,9.948,2029.913,0.9486
UCB,725,10.066,2095.475,0.949
UCB,750,10.066,2166.149,0.9507
UCB,775,10.303,2223.439,0.9497
UCB,800,10.595,2293.709,0.9476
UCB,825,10.595,2375.134,0.9492
UCB,850,10.713,2444.81,0.9495
UCB,875,10.713,2514.719,0.9509
UCB,900,10.713,2585.344,0.9523
UCB,925,11.069,2640.697,0.9503
UCB,950,11.069,2730.808,0.9516
UCB,975,11.069,2807.604,0.9529
UCB,1000,11.069,2873.615,0.954
UCB,1025,11.069,2928.064,0.9552
UCB,1050,11.069,3004.094,0.9562
UCB,1075,11.242,3089.127,0.9554
UCB,1100,11.242,3161.448,0.9564
UCB,1125,11.36,3240.697,0.9565
UCB,1150,11.479,3324.281,0.9566
UCB,1175,11.479,3413.788,0.9575
UCB,1200,11.597,3489.219,0.9575
UCB,1225,11.597,3538.992,0.9584
UCB,1250,11.597,3612.574,0.9592
UCB,1275,11.716,3687.057,0.9592
UCB,1300,11.716,3751.283,0.96
UCB,1325,11.834,3803.394,0.96
UCB,1350,11.834,3882.326,0.9608
UCB,1375,11.952,3952.269,0.9608
UCB,1400,11.952,4036.257,0.9615
UCB,1425,12.189,4101.782,0.9607
UCB,1450,12.189,4187.431,0.9614
UCB,1475,12.189,4259.138,0.9621
UCB,1500,12.189,4347.254,0.9627
UCB,1525,12.189,4416.723,0.9633
UCB,1550,12.426,4491.663,0.9626
UCB,1575,12.654,4575.074,0.9613
UCB,1600,13.092,4648.739,0.9569
UCB,1625,13.266,4722.773,0.9563
UCB,1650,13.266,4787.169,0.957
UCB,1675,13.266,4865.904,0.9576
UCB,1700,13.32,4926.14,0.9577
UCB,1725,13.32,4984.72,0.9583
UCB,1750,13.439,5043.667,0.9583
UCB,1775,13.557,5125.706,0.9583
UCB,1800,13.557,5216.378,0.9589
UCB,1825,13.557,5288.522,0.9595
UCB,1850,13.557,5351.135,0.96
UCB,1875,13.557,5438.012,0.9606
UCB,1900,13.557,5497.119,0.9611
UCB,1925,13.794,5557.311,0.9605
UCB,1950,13.913,5623.341,0.9605
UCB,1975,14.149,5695.01,0.96
UCB,2000,14.149,5757.313,0.9605
UCB,2025,14.149,5825.674,0.961
UCB,2050,14.149,5892.083,0.9615
UCB,2075,14.268,5966.948,0.9615
UCB,2100,14.268,6055.754,0.9619
UCB,2125,14.268,6124.383,0.9624
UCB,2150,14.386,6200.636,0.9623
UCB,2175,14.386,6276.569,0.9628
UCB,2200,14.386,6351.46,0.9632
UCB,2225,14.441,6431.05,0.9632
UCB,2250,14.441,6501.326,0.9636
UCB,2275,14.678,6568.721,0.9631
UCB,2300,14.796,6658.198,0.9631
UCB,2325,14.796,6728.673,0.9635
UCB,2350,14.915,6799.898,0.9634
UCB,2375,15.033,6865.856,0.9634
UCB,2400,15.033,6947.421,0.9638
UCB,2425,15.206,7013.666,0.9633
UCB,2450,15.206,7076.915,0.9637
UCB,2475,15.206,7146.748,0.9641
UCB,2500,15.325,7236.219,0.964
UCB,2525,15.443,7294.797,0.964
UCB,2550,15.562,7368.06,0.9639
UCB,2575,15.562,7460.728,0.9643
UCB,2600,15.562,7520.048,0.9646
UCB,2625,15.917,7585.14,0.9638
UCB,2650,16.035,7653.646,0.9638
UCB,2675,16.035,7724.54,0.9641
UCB,2700,16.035,7816.295,0.9645
UCB,2725,16.272,7882.548,0.964
UCB,2750,16.272,7965.086,0.9644
UCB,2775,16.272,8032.658,0.9647
UCB,2800,16.272,8101.811,0.965
UCB,2825,16.391,8191.83,0.965
UCB,2850,16.509,8273.114,0.9649
UCB,2875,16.509,8324.575,0.9652
UCB,2900,16.628,8391.808,0.9652
