limiar,f1,precisao,recall,risco_nao_detectado,apoio_desnecessario,custo_total
0.05,0.775,0.6373,0.9886,346,7,1045.0
0.06,0.7755,0.638,0.9886,345,7,1042.0
0.07,0.779,0.6427,0.9886,338,7,1021.0
0.08,0.7805,0.6448,0.9886,335,7,1012.0
0.09,0.783,0.6482,0.9886,330,7,997.0
0.1,0.7847,0.6513,0.987,325,8,983.0
0.11,0.7914,0.6605,0.987,312,8,944.0
0.12,0.7974,0.6696,0.9854,299,9,906.0
0.13,0.7995,0.6741,0.9821,292,11,887.0
0.14,0.8021,0.6779,0.9821,287,11,872.0
0.15,0.8073,0.6876,0.9772,273,14,833.0
0.16,0.8196,0.7127,0.9642,239,22,739.0
0.17,0.8211,0.7158,0.9626,235,23,728.0
0.18,0.8225,0.719,0.961,231,24,717.0
0.19,0.8258,0.7248,0.9593,224,25,697.0
0.2,0.8304,0.732,0.9593,216,25,673.0
0.21,0.8323,0.7368,0.9561,210,27,657.0
0.22,0.832,0.7374,0.9545,209,28,655.0
0.23,0.8336,0.7408,0.9528,205,29,644.0
0.24,0.8348,0.7427,0.9528,203,29,638.0
0.25,0.8343,0.7439,0.9496,201,31,634.0
0.26,0.8345,0.7484,0.9431,195,35,620.0
0.27,0.8369,0.7523,0.9431,191,35,608.0
0.28,0.8378,0.7579,0.9366,184,39,591.0
0.29,0.8384,0.7589,0.9366,183,39,588.0
0.3,0.8386,0.7613,0.9333,180,41,581.0
0.31,0.8386,0.7613,0.9333,180,41,581.0
0.32,0.8423,0.7674,0.9333,174,41,563.0
0.33,0.8433,0.7702,0.9317,171,42,555.0
0.34,0.8439,0.7712,0.9317,170,42,552.0
0.35,0.8444,0.7755,0.9268,165,45,540.0
0.36,0.8463,0.7787,0.9268,162,45,531.0
0.37,0.8471,0.7824,0.9236,158,47,521.0
0.38,0.846,0.7828,0.9203,157,49,520.0
0.39,0.8441,0.783,0.9154,156,52,520.0
0.4,0.8411,0.7864,0.9041,151,59,512.0
0.41,0.8407,0.7881,0.9008,149,61,508.0
0.42,0.8363,0.7865,0.8927,149,66,513.0
0.43,0.8377,0.7982,0.8813,137,73,484.0
0.44,0.8384,0.8063,0.8732,129,78,465.0
0.45,0.8411,0.8185,0.865,118,83,437.0
0.46,0.8438,0.8235,0.865,114,83,425.0
0.47,0.8459,0.8352,0.8569,104,88,400.0
0.48,0.844,0.8392,0.8488,100,93,393.0
0.49,0.8427,0.8448,0.8407,95,98,383.0
0.5,0.8422,0.847,0.8374,93,100,379.0
0.51,0.8426,0.8496,0.8358,91,101,374.0
0.52,0.8423,0.8557,0.8293,86,105,363.0
0.53,0.8423,0.8557,0.8293,86,105,363.0
0.54,0.843,0.8571,0.8293,85,105,360.0
0.55,0.8405,0.8591,0.8228,83,109,358.0
0.56,0.841,0.8618,0.8211,81,110,353.0
0.57,0.8407,0.863,0.8195,80,111,351.0
0.58,0.8411,0.8657,0.8179,78,112,346.0
0.59,0.8392,0.8653,0.8146,78,114,348.0
0.6,0.8363,0.8646,0.8098,78,117,351.0
0.61,0.8384,0.8691,0.8098,75,117,342.0
0.62,0.8388,0.8719,0.8081,73,118,337.0
0.63,0.8376,0.873,0.8049,72,120,336.0
0.64,0.838,0.8759,0.8033,70,121,331.0
0.65,0.8372,0.8799,0.7984,67,124,325.0
0.66,0.8306,0.8814,0.7854,65,132,327.0
0.67,0.828,0.8838,0.7789,63,136,325.0
0.68,0.8237,0.8889,0.7675,59,143,320.0
0.69,0.8152,0.8934,0.7496,55,154,319.0
0.7,0.8117,0.8943,0.7431,54,158,320.0
0.71,0.8054,0.8931,0.7333,54,164,326.0
0.72,0.8047,0.8962,0.7301,52,166,322.0
0.73,0.8007,0.9039,0.7187,47,173,314.0
0.74,0.7982,0.9104,0.7106,43,178,307.0
0.75,0.7974,0.9139,0.7073,41,180,303.0
0.76,0.7941,0.9244,0.6959,35,187,292.0
0.77,0.7884,0.9294,0.6846,32,194,290.0
0.78,0.7773,0.9318,0.6667,30,205,295.0
0.79,0.7745,0.9335,0.6618,29,208,295.0
0.8,0.7599,0.9336,0.6407,28,221,305.0
0.81,0.7568,0.9419,0.6325,24,226,298.0
0.82,0.7453,0.9428,0.6163,23,236,305.0
0.83,0.7316,0.9412,0.5984,23,247,316.0
0.84,0.719,0.9444,0.5805,21,258,321.0
0.85,0.6914,0.9463,0.5447,19,280,337.0
0.86,0.6723,0.9551,0.5187,15,296,341.0
0.87,0.6581,0.9595,0.5008,13,307,346.0
0.88,0.6436,0.9582,0.4846,13,317,356.0
0.89,0.6339,0.9667,0.4715,10,325,355.0
0.9,0.6157,0.9653,0.452,10,337,367.0
0.91,0.6111,0.9649,0.4472,10,340,370.0
0.92,0.5962,0.9672,0.4309,9,350,377.0
0.93,0.5688,0.965,0.4033,9,367,394.0
0.94,0.4691,0.9744,0.3089,5,425,440.0
0.95,0.4118,0.9877,0.2602,2,455,461.0
